Platform,SPN,User Display Name,Display Types,TIME,Event,Config,Dependency,Access Level (Wintrac),Unit of Measurement,Event log when alarm code(s) set,Event Log When Parameter Changes?,Auto Log at Power ON?,Auto Log at Noon (12:05 PM)?,Additional Reqs,Documentation Notes,Access Level (WinTrac)
DEET,,Engine Break-In Time Completed,Table Only,False,TRUE,FALSE,No Dependency,Technician,,,False,False,False,Log completed time when event log for Engine Break-in Status (0x0548) occurs.,,
DEET,,Flashload Event and Source,Table Only,False,TRUE,FALSE,No Dependency,User,,Flashload,False,False,False,"The Service Watch log shall indicate that a flashload has occurred and also log the source of the flashload.
Flashload via USB = Source: USB FLASH DRIVE
Flashload via Service Tool = Source: WINTRAC
Flashload via FLOTA = Source: TK TELEMATICS",JR 8/5/2021 - updated to add the source of the flashload to be logged in SW,
Railblazer,0x0001,Software Major Version,Header,FALSE,FALSE,TRUE,No Dependency,Technician,,,False,False,False,,,
"DEET, Nebula-Galaxy",0x0001,Software Major Version,Header,False,FALSE,TRUE,No Dependency,Technician,,,False,False,False,,,
Railblazer,0x0002,Software Minor Version,Header,FALSE,FALSE,TRUE,No Dependency,Technician,,,False,False,False,,,
"DEET, Nebula-Galaxy",0x0002,Software Minor Version,Header,False,FALSE,TRUE,No Dependency,Technician,,,False,False,False,,,
Railblazer,0x0003,Software Release Number,Header,FALSE,FALSE,TRUE,No Dependency,Technician,,,False,False,False,,,
"DEET, Nebula-Galaxy",0x0003,Software Release Number,Header,False,FALSE,TRUE,No Dependency,Technician,,,False,False,False,,,
"DEET, Nebula-Galaxy",0x0004,Software Build Number,Header,False,FALSE,TRUE,No Dependency,Technician,,,False,False,False,,,
Railblazer,0x0004,Software Build Number,Header,FALSE,FALSE,TRUE,No Dependency,Technician,,,False,False,False,,,
AMT,0x002D,ECU Engine RPM,Graph and Table,True,FALSE,FALSE,Engine = ECO GOV,Technician,Frequencies (RPM),"7, 33, 48, 86, 87, 616",False,False,False,,,
Railblazer,0x002D,ECU Engine RPM,Graph and Table,TRUE,FALSE,FALSE,Engine = ECO GOV,Technician,,"33, 48, 616",False,False,False,,"P.Carr 21st July 23: since RB does not support alarm code 7, removed alarm code 7 from event log alarms list",
DEET,0x002D,ECU Engine RPM,Graph and Table,True,FALSE,FALSE,Engine = ECO GOV OR Platform = DEET,Technician,,102:672; 102:55,False,False,False,,,
Navigator,0x002D,ECU Engine RPM,Graph and Table,True,FALSE,FALSE,Engine = ECO GOV,,,"7, 33, 48, 616",False,False,False,,,Technician
Railblazer,0x002E,Engine Speed Command,Graph (stepped) and Table (continuous columns),TRUE,FALSE,FALSE,No Dependency,Technician,,33,False,False,False,,P.Carr 25th July - reviewed with RB team and agreed to make this timed log with graphical stepped view.,
AMT,0x002E,Engine Speed Request,Graph (stepped) and Table (continuous columns),True,FALSE,FALSE,Engine = ECO GOV,Technician,Frequencies (RPM),"33, 616",False,False,False,,"P.Carr 1st Sept 2022 - updated SPN from 0x0181 (not applicable for AMT) to 0x002E (engine speed command)

P.Carr 4th Jan 24 - adding dependency to ensure parameter is not logged for ELENA MT unit models",
DEET,0x002E,Engine Speed Command,Table Only,True,FALSE,FALSE,No Dependency,Technician,,,False,False,False,,,
AMT,0x0030,Electric Motor RPM,Graph and Table,True,FALSE,FALSE,No Dependency,Technician,Frequencies (RPM),"7, 33, 36, 48, 56, 57, 58, 59, 86, 87, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",False,False,False,,,
Navigator,0x0030,Electric Motor RPM,Graph and Table,True,FALSE,FALSE,No Dependency,,,"7, 33, 48, 56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",False,False,False,,,Technician
Railblazer,0x0030,Electric Motor RPM,Graph and Table,TRUE,FALSE,FALSE,No Dependency,Technician,,"33, 48, 56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",False,False,False,,"P.Carr 21st July 23: since RB does not support alarm code 7, removed alarm code 7 from event log alarms list",
Nebula-Galaxy,0x0036,Hot Gas Bypass Valve,Table Only,False,TRUE,FALSE,No Dependency,Technician,,45,False,False,False,,,
Nebula-Galaxy,0x0037,Liquid Line Solenoid Zone 2,Table Only,False,TRUE,FALSE,No Dependency,Technician,,67,False,False,False,,,
Nebula-Galaxy,0x0039,Liquid Line Solenoid Zone 1,Table Only,False,TRUE,FALSE,No Dependency,Technician,,67,False,False,False,,,
DEET,0x0042,Safety Spare Output,Table Only,True,FALSE,FALSE,No Dependency,User,,2:10; 42:10; 13:26; 42:93; 42:95; 42:99; 42:236,False,False,False,Need to rename SPN to Compressor Enable,,
Nebula-Galaxy,0x0044,Combo Device On/Off Switch,Table Only,False,TRUE,FALSE,No Dependency,Technician,,265,False,False,False,ComboTrm15,,
Nebula-Galaxy,0x0047,Combo Device 12V DC Supply Voltage,Table and Graph,True,FALSE,FALSE,No Dependency,Technician,Voltage (V),265,False,False,False,ComboTrm30,,
AMT,0x004A,Engine Preheat Output,Table Only,False,TRUE,FALSE,No Dependency,Technician,,15,True,False,False,,Helpful for diagnosing fail to crank issues.,
Navigator,0x004A,Engine Preheat,Table Only,False,TRUE,FALSE,Engine Type = ECO or Mechanical,,,,True,False,False,Log event: when engine preheat status changes.,"Helpful for diagnosing fail to crank issues. Will allow for determination of preheat time length

DB - 16th Jan2023 - Updated dependancy column from ""No Dependancy"" to ""Engine Type = ECO or Mechanical"" for PL3 & ELENA",Technician
"DEET, Railblazer",0x004A,Engine Preheat,Table Only,False,TRUE,FALSE,No Dependency,Technician,,,True,False,False,Log event: when engine preheat status changes.,Helpful for diagnosing fail to crank issues. Will allow for determination of preheat time length,
AMT,0x004B,Engine Starter Solenoid Output,Table Only,False,TRUE,FALSE,No Dependency,Technician,,,True,False,False,,,
Navigator,0x004D,Engine Speed Solenoid,Table Only,False,TRUE,FALSE,Engine = MECHANICAL,,,40,True,False,False,Log event: when engine speed solenoid status changes or applicable alarm code sets,,Technician
Nebula-Galaxy,0x004F,Main Heater Contactor Output Zone 1,Table Only,True,FALSE,FALSE,No Dependency,Technician,,317,False,False,False,,,
Nebula-Galaxy,0x0050,Main Heater Contactor Output Zone 2,Table Only,True,FALSE,FALSE,No Dependency,Technician,,317,False,False,False,,,
"DEET, Railblazer",0x0058,Power On,Table Only,False,TRUE,FALSE,No Dependency,User,,,False,True,False,Log event at power on / off,,
Navigator,0x0058,Power On,Table Only,False,TRUE,FALSE,No Dependency,,,,False,True,False,Log event at power on / off,,User
AMT,0x0058,Power On,Table Only,False,TRUE,FALSE,No Dependency,User,,,False,True,False,,,
AMT,0x0093,Return Air Temperature - Zone 1,Graph and Table,True,FALSE,FALSE,No Dependency,User,"Temperatures (◦C/◦F )
MT Zone 1","3, 280",False,False,False,,,
Navigator,0x0093,Return Display,Graph and Table,True,FALSE,FALSE,No Dependency,,,,False,False,False,,DB 8th Oct 2024 - Added Return Display to address issue of jumbled columns in the servicewatch download. Dischage Display shall log same data as Discharge Control for PL6,Technician
DEET,0x0093,Return Control,Graph and Table,True,FALSE,FALSE,No Dependency,User,,1:3,False,False,False,,,
Nebula-Galaxy,0x0093,Return Air Temperature,Table and Graph,True,FALSE,FALSE,No Dependency,User,Temperatures (◦C/◦F ) MT Zone 1,3,False,False,False,,,
Navigator,0x0093,Return Control,Graph and Table,True,FALSE,FALSE,No Dependency,,,3,False,False,False,,,User
Nebula-Galaxy,0x0093,Return Air Temperature Zone 1,Table and Graph,True,FALSE,FALSE,No Dependency,User,Temperatures (◦C/◦F ) MT Zone 1,3,False,False,False,,,
Railblazer,0x0093,Return Control,Graph and Table,TRUE,FALSE,FALSE,No Dependency,User,,3,False,False,False,,,
Railblazer,0x0094,Discharge Control,Graph and Table,TRUE,FALSE,FALSE,No Dependency,User,,4,False,False,False,,,
Navigator,0x0094,Discharge Control,Graph and Table,True,FALSE,FALSE,No Dependency,,,4,False,False,False,,,User
AMT,0x0094,Discharge Air Temperature - Zone 1,Graph and Table,True,FALSE,FALSE,No Dependency,User,"Temperatures (◦C/◦F )
MT Zone 1","4, 280",False,False,False,,,
DEET,0x0094,Discharge Control,Graph and Table,True,FALSE,FALSE,No Dependency,User,,1:4,False,False,False,,,
Nebula-Galaxy,0x0094,Discharge Air Temperature Zone 1,Table and Graph,True,FALSE,FALSE,No Dependency,Technician,Temperatures (◦C/◦F ) MT Zone 1,4,False,False,False,,,
Nebula-Galaxy,0x0094,Discharge Air Temperature,Table and Graph,True,FALSE,FALSE,No Dependency,Technician,Temperatures (◦C/◦F ) MT Zone 1,4,False,False,False,,,
Navigator,0x0094,Discharge Display,Graph and Table,True,FALSE,FALSE,No Dependency,,,,False,False,False,,DB 8th Oct 2024 - Added Discharge Display to address issue of jumbled columns in the servicewatch download. Dischage Display shall log same data as Discharge Control for PL6,Technician
DEET,0x0095,Return Display,Graph and Table,True,FALSE,FALSE,No Dependency,Technician,,1:203,False,False,False,,,
Railblazer,0x0095,Return Display,Graph and Table,TRUE,TRUE,FALSE,No Dependency,Technician,,203,False,False,False,,,
Nebula-Galaxy,0x0095,Return Air Temperature Zone 2,Table and Graph,True,FALSE,FALSE,No Dependency,User,Temperatures (◦C/◦F )MT Zone 2,3,False,False,False,,,
DEET,0x0096,Discharge Display,Graph and Table,True,FALSE,FALSE,No Dependency,Technician,,1:204,False,False,False,,,
Railblazer,0x0096,Discharge Display,Graph and Table,TRUE,TRUE,FALSE,No Dependency,Technician,,204,False,False,False,,,
Nebula-Galaxy,0x0096,Coolant Water Temperature Sensor,Table and Graph,True,FALSE,FALSE,No Dependency,Technician,Temperatures (◦C/◦F ) MT Zone 1,206,False,False,False,WaterTempSensor,,
Railblazer,0x0097,Evaporator Coil,Graph and Table,TRUE,FALSE,FALSE,No Dependency,User,,"2, 9",False,False,False,,,
AMT,0x0097,Evaporator Coil Temperature - Zone 1,Graph and Table,True,FALSE,FALSE,No Dependency,User,"Temperatures (◦C/◦F )
MT Zone 1","2, 9, 280",False,False,False,,,
Navigator,0x0097,Evaporator Coil,Graph and Table,True,FALSE,FALSE,No Dependency,,,"2, 9",False,False,False,,,User
DEET,0x0097,Evaporator Coil,Graph and Table,True,FALSE,FALSE,No Dependency,User,,1:2; 42:9,False,False,False,,,
Nebula-Galaxy,0x0097,Evaporator Coil Temperature Zone 1,Table and Graph,True,FALSE,FALSE,No Dependency,User,Temperatures (◦C/◦F ) MT Zone 1,"2, 9",False,False,False,,,
Nebula-Galaxy,0x0097,Evaporator Coil Temperature,Table and Graph,True,FALSE,FALSE,No Dependency,User,Temperatures (◦C/◦F ) MT Zone 1,"2, 9",False,False,False,,,
Navigator,0x0098,Ambient,Graph and Table,True,FALSE,FALSE,No Dependency,,,5,False,False,False,,,User
AMT,0x0098,Ambient Temperature,Graph and Table,True,FALSE,FALSE,No Dependency,User,"Temperatures (◦C/◦F )
MT Zone 1","5, 10",False,False,False,,,
DEET,0x0098,Ambient,Graph and Table,True,FALSE,FALSE,No Dependency,User,,1:5,False,False,False,,,
Nebula-Galaxy,0x0098,Ambient Temperature,Table and Graph,True,FALSE,FALSE,No Dependency,User,Temperatures (◦C/◦F ) MT Zone 1,"5, 10",False,False,False,,,
Railblazer,0x0098,Ambient Temperature,Graph and Table,TRUE,FALSE,FALSE,No Dependency,User,,5,False,False,False,,,
Nebula-Galaxy,0x0099,Drain Pan Temperature,Table and Graph,True,FALSE,FALSE,No Dependency,Technician,,202,False,False,False,,,
Nebula-Galaxy,0x009A,Compressor Discharge Temperature,Table and Graph,True,FALSE,FALSE,No Dependency,Technician,"Temperatures (◦C/◦F )
MT Zone 2","80, 121",False,False,False,,,
DEET,0x009A,Refrigerant Discharge Temperature,Graph and Table,True,FALSE,FALSE,No Dependency,,,42:80; 10:121,False,False,False,,,
Nebula-Galaxy,0x009B,Compressor Suction Pressure,Table and Graph,True,FALSE,FALSE,No Dependency,Technician,Pressures (PSI/Bar),"87, 89,93,95,99",False,False,False,,,
