Platform,SPN,User Display Name,Display Types,TIME,Event,Config,Dependency,Access Level (Wintrac),Unit of Measurement,Event log when alarm code(s) set,Event Log When Parameter Changes?,Auto Log at Power ON?,Auto Log at Noon (12:05 PM)?,Additional Reqs,Documentation Notes,Access Level (WinTrac)
Navigator,0x048F,Auto Ambient Mode,Table Only,FALSE,1,0,No Dependency,,,,FALSE,FALSE,FALSE,Log entry and exit from constraint of this feature (ID 266),,User
Railblazer,0x048F,Auto Ambient Mode,Table Only,FALSE,1,0,No Dependency,User,,,FALSE,FALSE,FALSE,Log entry and exit from constraint of this feature (ID 266),,
Railblazer,0x0490,Charge Equalization Active,Table Only,FALSE,1,0,No Dependency,Technician,,,TRUE,FALSE,FALSE,Event log whenever parameter SPN state changes (ID 350)   ,event log which indicates when battery charge equalisation procedure has initiated/completed. ,
AMT,0x0490,Charge Equalization Active,Table Only,FALSE,1,0,No Dependency,Technician,,,TRUE,FALSE,FALSE,,event log which indicates when battery charge equalisation procedure has initiated/completed. ,
Navigator,0x0490,Charge Equalization Active,Table Only,FALSE,1,0,No Dependency,,,,TRUE,FALSE,FALSE,Event log whenever parameter SPN state changes (ID 350)   ,event log which indicates when battery charge equalisation procedure has initiated/completed. ,Technician
AMT,0x049C,Pretrip Defrost - Zone 1,Table Only,FALSE,1,0,No Dependency,User,,,TRUE,FALSE,FALSE,,"Event log which indicates defrost request
FUTURE (post launch scope)",
Railblazer,0x049E,Start of Trip,Table Only,FALSE,1,0,No Dependency,User,,,FALSE,FALSE,FALSE, Log event if SOT (start of trip) slected,,
AMT,0x049E,Start of Trip,Table Only,FALSE,1,0,No Dependency,User,,,TRUE,FALSE,FALSE,,,
Railblazer,0x049F,Water in Fuel Status,Table Only,FALSE ,1,0,No Dependency,Technician,,"516, 517",FALSE,FALSE,FALSE,,,
DEET,0x049F,Water in Fuel Status,Table Only,FALSE,1,0,No Dependency,User,,TBD,TRUE,FALSE,FALSE,Event log: when status changes,,
AMT,0x04AE,UFD Detected,Table Only,FALSE,1,0,No Dependency,Technician,,,TRUE,FALSE,FALSE,,,
Railblazer,0x04AE,UFD Detected,Table Only,FALSE,1,0,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
AMT,0x04B2,Service Test Defrost - Zone 1,Table Only,FALSE,1,0,No Dependency,User,,,TRUE,FALSE,FALSE,,"Event log which indicates defrost request
FUTURE (post launch scope)",
AMT,0x04C0,SW Download Status,Table Only,FALSE,1,0,No Dependency,Technician,,,TRUE,FALSE,FALSE,,,
Railblazer,0x04C0,SW Download Status,Table Only,FALSE,1,0,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
AMT,0x04D2,Third Party 3A Current Draw,Table Only,TRUE,0,0,No Dependency,Technician,,"61, 159",FALSE,FALSE,FALSE,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). ",
Navigator,0x04D2,Third Party 3A Current Draw ,Table Only,TRUE,0,0,No Dependency,,,"61, 159",FALSE,FALSE,FALSE,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). 
Added SPN allocation on 18th Nov 20 alongside code implementation for PL2 release. 
DB - Updated name to include '3A'  on 28th July 2021",Technician
Railblazer,0x04D2,Third Party 3A Current Draw ,Table Only,TRUE,0,0,No Dependency,Technician,,"61, 159",FALSE,FALSE,FALSE,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). 
Added SPN allocation on 18th Nov 20 alongside code implementation for PL2 release. 
DB - Updated name to include '3A'  on 28th July 2021",
DEET,0x04D3,LIV Current Drawn,Table Only,FALSE,1,0,No Dependency,Technician,,0.500694444,FALSE,FALSE,FALSE,"Log on event based on the fault being set, as defined in column ""I""",,
Nebula-Galaxy,0x04D3,Liquid Injection Valve Current Drawn,Table and Graph,TRUE,0,0,No Dependency,Technician,,121,FALSE,FALSE,FALSE,,,
DEET,0x04E1,System Phase 1 True Current,Table Only,TRUE,0,0,No Dependency,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,FALSE,FALSE,FALSE,,,
DEET,0x04E2,System Phase 2 True Current,Table Only,TRUE,0,0,No Dependency,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,FALSE,FALSE,FALSE,,,
DEET,0x04E3,System Phase 3 True Current,Table Only,TRUE,0,0,No Dependency,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,FALSE,FALSE,FALSE,,,
DEET,0x04E4,Motor Phase 1 True Current,Table Only,TRUE,0,0,No Dependency,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,FALSE,FALSE,FALSE,,,
DEET,0x04E5,Motor Phase 2 True Current,Table Only,TRUE,0,0,No Dependency,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,FALSE,FALSE,FALSE,,,
DEET,0x04E6,Motor Phase 3 True Current,Table Only,TRUE,0,0,No Dependency,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,FALSE,FALSE,FALSE,,,
DEET,0x04E7,System Phase Pair Shift,Table Only,TRUE,0,0,No Dependency,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,FALSE,FALSE,FALSE,,,
DEET,0x04E8,Motor Phase Pair Shift,Table Only,TRUE,0,0,No Dependency,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,FALSE,FALSE,FALSE,,,
DEET,0x04EB,System Phase Pair Average Frequency,Table Only,TRUE,0,0,No Dependency,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,FALSE,FALSE,FALSE,,,
DEET,0x04EE,Motor Phase Pair Average Frequency,Table Only,TRUE,0,0,No Dependency,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,FALSE,FALSE,FALSE,,,
AMT,0x04FF,OSP Profile Active,Table Only,FALSE,1,0,No Dependency,Technician,,,TRUE,FALSE,FALSE,,,
Railblazer,0x04FF,OSP Profile Active,Table Only,FALSE,1,0,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
DEET,0x0514,Pretrip Status (non-running),Table Only,FALSE,1,0,No Dependency,User,,,FALSE,FALSE,FALSE,Log event when Pretrip Status is entered & exited/completed (more Pretrip status's may be logged if applicable),"For DEET, this tracks the non-running pretrip status only",
Navigator,0x0517,Alert Defrost,Table Only,FALSE,1,0,No Dependency,,,,TRUE,FALSE,FALSE, Log event if parameter value changes. ,DB - Added 28th July 2021,User
Railblazer,0x0517,Alert Defrost,Table Only,FALSE,1,0,No Dependency,User,,,TRUE,FALSE,FALSE, Log event if parameter value changes. ,"DB - Added 28th July 2021
P.Carr 21st July 23: added missing acronym to list - ALTDF ",
AMT,0x0517,Alert Defrost - zone 1,Table Only,FALSE,1,0,No Dependency,User,,,TRUE,FALSE,FALSE,,Event log which indicates defrost request,
AMT,0x0538,Wake Reason,Table Only,FALSE,1,0,No Dependency,Technician,,,TRUE,TRUE,FALSE,,,
Railblazer,0x0538,Wake Reason,Table Only,FALSE,1,0,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
Railblazer,0x0541,Component Flashload Selection,Table Only,FALSE,1,0,No Dependency,Technician,,,FALSE,FALSE,FALSE,,,
AMT,0x0541,Component Flashload Selection,Table Only,FALSE,1,0,No Dependency,Technician,,,TRUE,FALSE,FALSE,,,
Railblazer,0x0548,EngineBreakInMode,Table Only,FALSE ,1,0,No Dependency,Technician,,Not available,FALSE,FALSE,FALSE,,,
DEET,0x0548,Engine Break-In Status,Table Only,FALSE,1,0,No Dependency,Technician,,,FALSE,FALSE,FALSE,"Log event when a change in engine break-in status only for failed, completed, or timed out. ","Did not include enumerations for 0, 1, or 2 (unavilable, ready, and loading). 
3	FAILED
4	COMPLETED
5	TIMED_OUT",
Railblazer,0x0578,Engine Break-in Complete,Table Only,FALSE,1,0,No Dependency,Technician,,,FALSE,FALSE,FALSE,Log completed time when event log for Engine Break-in Status (0x0548) occurs.,,
Navigator,0x0584,Third Party 10A Current Draw,Table Only,TRUE,0,0,No Dependency,,,"61, 159",FALSE,FALSE,FALSE,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). 
Added SPN on 14thJune 2021 as part of PL2.2",Technician
AMT,0x0584,Third Party 10A Current Draw,Table Only,TRUE,0,0,No Dependency,Technician,,"61, 159",FALSE,FALSE,FALSE,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). ",
Navigator,0x0587,Third Party 15A Current Draw,Table Only,TRUE,0,0,No Dependency,,,"61, 159",FALSE,FALSE,FALSE,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). 
Added SPN on 14thJune 2021 as part of PL2.2",Technician
AMT,0x0587,Third Party 15A Current Draw,Table Only,TRUE,0,0,No Dependency,Technician,,"61, 159",FALSE,FALSE,FALSE,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). ",
Railblazer,0x0587,Third Party 15A Current Draw,Table Only,TRUE,0,0,No Dependency,Technician,,"61, 159",FALSE,FALSE,FALSE,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). 
Added SPN on 14thJune 2021 as part of PL2.2",
Navigator,0x058A,Third Party 2A Current Draw,Table Only,TRUE,0,0,No Dependency,,,"61, 159",FALSE,FALSE,FALSE,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). 
Added SPN on 14thJune 2021 as part of PL2.2",Technician
