Platform,SPN,User Display Name,Display Types,TIME,Event,Config,Dependency,Access Level (Wintrac),Unit of Measurement,Event log when alarm code(s) set,Event Log When Parameter Changes?,Auto Log at Power ON?,Auto Log at Noon (12:05 PM)?,Additional Reqs,Documentation Notes,Access Level (WinTrac)
DEET,,engine break-in time completed,table only,FALSE,TRUE,FALSE,no dependency,technician,,,FALSE,FALSE,FALSE,log completed time when event log for engine break-in status (0x0548) occurs.,,
DEET,,flashload event and source,table only,FALSE,TRUE,FALSE,no dependency,user,,flashload,FALSE,FALSE,FALSE,"the service watch log shall indicate that a flashload has occurred and also log the source of the flashload.
flashload via usb = source: usb flash drive
flashload via service tool = source: wintrac
flashload via flota = source: tk telematics",jr 8/5/2021 - updated to add the source of the flashload to be logged in sw,
"DEET, Nebula-Galaxy, Railblazer",0x0001,software major version,header,FALSE,FALSE,TRUE,no dependency,technician,,,FALSE,FALSE,FALSE,,,
"DEET, Nebula-Galaxy, Railblazer",0x0002,software minor version,header,FALSE,FALSE,TRUE,no dependency,technician,,,FALSE,FALSE,FALSE,,,
"DEET, Nebula-Galaxy, Railblazer",0x0003,software release number,header,FALSE,FALSE,TRUE,no dependency,technician,,,FALSE,FALSE,FALSE,,,
"DEET, Nebula-Galaxy, Railblazer",0x0004,software build number,header,FALSE,FALSE,TRUE,no dependency,technician,,,FALSE,FALSE,FALSE,,,
Railblazer,0x002d,ecu engine rpm,table and graph,TRUE,FALSE,FALSE,engine = eco gov,technician,,"33, 48, 616",FALSE,FALSE,FALSE,,"p.carr 21st july 23: since rb does not support alarm code 7, removed alarm code 7 from event log alarms list",
AMT,0x002d,ecu engine rpm,table and graph,TRUE,FALSE,FALSE,engine = eco gov,technician,frequencies (rpm),"7, 33, 48, 86, 87, 616",FALSE,FALSE,FALSE,,,
DEET,0x002d,ecu engine rpm,table and graph,TRUE,FALSE,FALSE,engine = eco gov or platform = deet,technician,,102:672; 102:55,FALSE,FALSE,FALSE,,,
Navigator,0x002d,ecu engine rpm,table and graph,TRUE,FALSE,FALSE,engine = eco gov,,,"7, 33, 48, 616",FALSE,FALSE,FALSE,,,technician
DEET,0x002e,engine speed command,table only,TRUE,FALSE,FALSE,no dependency,technician,,,FALSE,FALSE,FALSE,,,
Railblazer,0x002e,engine speed command,graph (stepped) and table (continuous columns),TRUE,FALSE,FALSE,no dependency,technician,,33,FALSE,FALSE,FALSE,,p.carr 25th july - reviewed with rb team and agreed to make this timed log with graphical stepped view.,
AMT,0x002e,engine speed request,graph (stepped) and table (continuous columns),TRUE,FALSE,FALSE,engine = eco gov,technician,frequencies (rpm),"33, 616",FALSE,FALSE,FALSE,,"p.carr 1st sept 2022 - updated spn from 0x0181 (not applicable for amt) to 0x002e (engine speed command)

p.carr 4th jan 24 - adding dependency to ensure parameter is not logged for elena mt unit models",
AMT,0x0030,electric motor rpm,table and graph,TRUE,FALSE,FALSE,no dependency,technician,frequencies (rpm),"7, 33, 36, 48, 56, 57, 58, 59, 86, 87, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",FALSE,FALSE,FALSE,,,
Navigator,0x0030,electric motor rpm,table and graph,TRUE,FALSE,FALSE,no dependency,,,"7, 33, 48, 56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",FALSE,FALSE,FALSE,,,technician
Railblazer,0x0030,electric motor rpm,table and graph,TRUE,FALSE,FALSE,no dependency,technician,,"33, 48, 56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",FALSE,FALSE,FALSE,,"p.carr 21st july 23: since rb does not support alarm code 7, removed alarm code 7 from event log alarms list",
Nebula-Galaxy,0x0036,hot gas bypass valve,table only,FALSE,TRUE,FALSE,no dependency,technician,,45,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0037,liquid line solenoid zone 2,table only,FALSE,TRUE,FALSE,no dependency,technician,,67,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0039,liquid line solenoid zone 1,table only,FALSE,TRUE,FALSE,no dependency,technician,,67,FALSE,FALSE,FALSE,,,
DEET,0x0042,safety spare output,table only,TRUE,FALSE,FALSE,no dependency,user,,2:10; 42:10; 13:26; 42:93; 42:95; 42:99; 42:236,FALSE,FALSE,FALSE,need to rename spn to compressor enable,,
Nebula-Galaxy,0x0044,combo device on/off switch,table only,FALSE,TRUE,FALSE,no dependency,technician,,265,FALSE,FALSE,FALSE,combotrm15,,
Nebula-Galaxy,0x0047,combo device 12v dc supply voltage,table and graph,TRUE,FALSE,FALSE,no dependency,technician,voltage (v),265,FALSE,FALSE,FALSE,combotrm30,,
AMT,0x004a,engine preheat output,table only,FALSE,TRUE,FALSE,no dependency,technician,,15,TRUE,FALSE,FALSE,,helpful for diagnosing fail to crank issues.,
Navigator,0x004a,engine preheat,table only,FALSE,TRUE,FALSE,engine type = eco or mechanical,,,,TRUE,FALSE,FALSE,log event: when engine preheat status changes.,"helpful for diagnosing fail to crank issues. will allow for determination of preheat time length

db - 16th jan2023 - updated dependancy column from ""no dependancy"" to ""engine type = eco or mechanical"" for pl3 & elena",technician
"DEET, Railblazer",0x004a,engine preheat,table only,FALSE,TRUE,FALSE,no dependency,technician,,,TRUE,FALSE,FALSE,log event: when engine preheat status changes.,helpful for diagnosing fail to crank issues. will allow for determination of preheat time length,
AMT,0x004b,engine starter solenoid output,table only,FALSE,TRUE,FALSE,no dependency,technician,,,TRUE,FALSE,FALSE,,,
Navigator,0x004d,engine speed solenoid,table only,FALSE,TRUE,FALSE,engine = mechanical,,,40,TRUE,FALSE,FALSE,log event: when engine speed solenoid status changes or applicable alarm code sets,,technician
Nebula-Galaxy,0x004f,main heater contactor output zone 1,table only,TRUE,FALSE,FALSE,no dependency,technician,,317,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0050,main heater contactor output zone 2,table only,TRUE,FALSE,FALSE,no dependency,technician,,317,FALSE,FALSE,FALSE,,,
AMT,0x0058,power on,table only,FALSE,TRUE,FALSE,no dependency,user,,,FALSE,TRUE,FALSE,,,
Navigator,0x0058,power on,table only,FALSE,TRUE,FALSE,no dependency,,,,FALSE,TRUE,FALSE,log event at power on / off,,user
"DEET, Railblazer",0x0058,power on,table only,FALSE,TRUE,FALSE,no dependency,user,,,FALSE,TRUE,FALSE,log event at power on / off,,
DEET,0x0093,return control,table and graph,TRUE,FALSE,FALSE,no dependency,user,,1:03,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0093,return air temperature,table and graph,TRUE,FALSE,FALSE,no dependency,user,temperatures (◦c/◦f ) mt zone 1,3,FALSE,FALSE,FALSE,,,
Navigator,0x0093,return display,table and graph,TRUE,FALSE,FALSE,no dependency,,,,FALSE,FALSE,FALSE,,db 8th oct 2024 - added return display to address issue of jumbled columns in the servicewatch download. dischage display shall log same data as discharge control for pl6,technician
Navigator,0x0093,return control,table and graph,TRUE,FALSE,FALSE,no dependency,,,3,FALSE,FALSE,FALSE,,,user
AMT,0x0093,return air temperature - zone 1,table and graph,TRUE,FALSE,FALSE,no dependency,user,"temperatures (◦c/◦f )
mt zone 1","3, 280",FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0093,return air temperature zone 1,table and graph,TRUE,FALSE,FALSE,no dependency,user,temperatures (◦c/◦f ) mt zone 1,3,FALSE,FALSE,FALSE,,,
Railblazer,0x0093,return control,table and graph,TRUE,FALSE,FALSE,no dependency,user,,3,FALSE,FALSE,FALSE,,,
Navigator,0x0094,discharge display,table and graph,TRUE,FALSE,FALSE,no dependency,,,,FALSE,FALSE,FALSE,,db 8th oct 2024 - added discharge display to address issue of jumbled columns in the servicewatch download. dischage display shall log same data as discharge control for pl6,technician
DEET,0x0094,discharge control,table and graph,TRUE,FALSE,FALSE,no dependency,user,,1:04,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0094,discharge air temperature zone 1,table and graph,TRUE,FALSE,FALSE,no dependency,technician,temperatures (◦c/◦f ) mt zone 1,4,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0094,discharge air temperature,table and graph,TRUE,FALSE,FALSE,no dependency,technician,temperatures (◦c/◦f ) mt zone 1,4,FALSE,FALSE,FALSE,,,
Railblazer,0x0094,discharge control,table and graph,TRUE,FALSE,FALSE,no dependency,user,,4,FALSE,FALSE,FALSE,,,
Navigator,0x0094,discharge control,table and graph,TRUE,FALSE,FALSE,no dependency,,,4,FALSE,FALSE,FALSE,,,user
AMT,0x0094,discharge air temperature - zone 1,table and graph,TRUE,FALSE,FALSE,no dependency,user,"temperatures (◦c/◦f )
mt zone 1","4, 280",FALSE,FALSE,FALSE,,,
DEET,0x0095,return display,table and graph,TRUE,FALSE,FALSE,no dependency,technician,,0.182638889,FALSE,FALSE,FALSE,,,
Railblazer,0x0095,return display,table and graph,TRUE,TRUE,FALSE,no dependency,technician,,203,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0095,return air temperature zone 2,table and graph,TRUE,FALSE,FALSE,no dependency,user,temperatures (◦c/◦f )mt zone 2,3,FALSE,FALSE,FALSE,,,
DEET,0x0096,discharge display,table and graph,TRUE,FALSE,FALSE,no dependency,technician,,0.183333333,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0096,coolant water temperature sensor,table and graph,TRUE,FALSE,FALSE,no dependency,technician,temperatures (◦c/◦f ) mt zone 1,206,FALSE,FALSE,FALSE,watertempsensor,,
Railblazer,0x0096,discharge display,table and graph,TRUE,TRUE,FALSE,no dependency,technician,,204,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0097,evaporator coil temperature,table and graph,TRUE,FALSE,FALSE,no dependency,user,temperatures (◦c/◦f ) mt zone 1,"2, 9",FALSE,FALSE,FALSE,,,
DEET,0x0097,evaporator coil,table and graph,TRUE,FALSE,FALSE,no dependency,user,,1:2; 42:9,FALSE,FALSE,FALSE,,,
Navigator,0x0097,evaporator coil,table and graph,TRUE,FALSE,FALSE,no dependency,,,"2, 9",FALSE,FALSE,FALSE,,,user
AMT,0x0097,evaporator coil temperature - zone 1,table and graph,TRUE,FALSE,FALSE,no dependency,user,"temperatures (◦c/◦f )
mt zone 1","2, 9, 280",FALSE,FALSE,FALSE,,,
Railblazer,0x0097,evaporator coil,table and graph,TRUE,FALSE,FALSE,no dependency,user,,"2, 9",FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0097,evaporator coil temperature zone 1,table and graph,TRUE,FALSE,FALSE,no dependency,user,temperatures (◦c/◦f ) mt zone 1,"2, 9",FALSE,FALSE,FALSE,,,
DEET,0x0098,ambient,table and graph,TRUE,FALSE,FALSE,no dependency,user,,1:05,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0098,ambient temperature,table and graph,TRUE,FALSE,FALSE,no dependency,user,temperatures (◦c/◦f ) mt zone 1,"5, 10",FALSE,FALSE,FALSE,,,
AMT,0x0098,ambient temperature,table and graph,TRUE,FALSE,FALSE,no dependency,user,"temperatures (◦c/◦f )
mt zone 1","5, 10",FALSE,FALSE,FALSE,,,
Navigator,0x0098,ambient,table and graph,TRUE,FALSE,FALSE,no dependency,,,5,FALSE,FALSE,FALSE,,,user
Railblazer,0x0098,ambient temperature,table and graph,TRUE,FALSE,FALSE,no dependency,user,,5,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x0099,drain pan temperature,table and graph,TRUE,FALSE,FALSE,no dependency,technician,,202,FALSE,FALSE,FALSE,,,
DEET,0x009a,refrigerant discharge temperature,table and graph,TRUE,FALSE,FALSE,no dependency,,,42:80; 10:121,FALSE,FALSE,FALSE,,,
Nebula-Galaxy,0x009a,compressor discharge temperature,table and graph,TRUE,FALSE,FALSE,no dependency,technician,"temperatures (◦c/◦f )
mt zone 2","80, 121",FALSE,FALSE,FALSE,,,
Railblazer,0x009b,suction pressure,table and graph,TRUE,FALSE,FALSE,no dependency,technician,,"87, 89",FALSE,FALSE,FALSE,,,
